timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
434828761,0,0,189,191,100,28,39
435868764,0,0,179,182,100,33,36
436909765,0,0,176,180,97,29,38
437829756,0,0,179,179,100,32,33
438864766,0,0,177,180,100,33,34
439907761,0,0,170,173,98,28,36
440837763,0,0,176,175,94,31,39
441888769,0,0,188,198,93,33,37
442816771,0,0,186,182,100,36,37
443845795,0,0,185,188,100,31,36
444891757,0,0,194,197,99,36,33
445815757,0,0,188,185,100,29,34
446834327,0,0,192,187,97,32,32
447896759,0,0,181,185,94,31,30
448820757,0,0,174,171,100,33,34
449856850,0,0,169,175,96,30,31
450890763,0,0,184,185,97,33,32
451817927,0,0,191,190,98,29,41
452841759,0,0,193,195,99,31,42
453898764,0,0,194,195,100,28,37
454813763,0,0,195,198,99,31,33
455854765,0,0,190,190,97,30,44
456894761,0,0,192,193,100,31,42
457823844,0,0,193,195,100,32,40
458861906,0,0,181,178,100,25,41
459902756,0,0,175,170,97,38,39
460816062,0,0,183,193,96,33,35
461873757,0,0,186,188,100,31,36
462911136,0,0,192,195,100,27,44
463953761,0,0,179,179,97,22,44
464863794,0,0,188,190,100,33,33
465898765,0,0,184,188,100,30,35
466825807,0,0,190,189,100,30,34
467865572,0,0,188,185,98,34,36
468922797,0,0,186,180,93,28,35
469834923,0,0,189,187,100,35,40
470870813,0,0,185,188,100,31,41
471822824,0,0,189,188,100,29,33
472828759,0,0,189,187,100,37,34
473867888,0,0,193,194,97,31,35
474923334,0,0,198,194,97,34,39
475847827,0,0,188,195,100,34,45
476888764,0,0,179,172,95,30,39
477802534,0,0,192,194,99,28,35
478845824,0,0,192,196,100,29,30
479895776,0,0,197,198,96,29,36
480935760,0,0,180,182,97,30,33
481849785,0,0,181,179,97,24,43
482902764,0,0,187,185,94,44,33
483819759,0,0,187,189,100,31,35
484862764,0,0,175,181,95,25,32
485882761,0,0,186,189,100,28,35
486814874,0,0,189,181,98,34,32
487857798,0,0,184,192,97,36,35
488895802,0,0,181,177,100,31,34
489810764,0,0,180,177,97,31,35
490866759,0,0,191,192,92,36,39
491899766,0,0,197,196,100,30,37
492825816,0,0,192,194,100,30,32
493859765,0,0,185,190,100,31,38
494910761,0,0,189,189,96,28,41
495828756,0,0,176,182,100,30,35
496881794,0,0,176,170,100,31,33
497913868,0,0,177,179,100,30,35
498842378,0,0,175,167,94,24,38
499859759,0,0,177,173,100,30,42
500808876,0,0,179,177,100,30,39
501828929,0,0,189,186,100,31,32
502881757,0,0,192,196,100,31,33
503811819,0,0,185,187,100,33,35
504829764,0,0,190,192,100,29,33
505879761,0,0,188,187,100,29,31
506908766,0,0,190,192,100,31,34
507833761,0,0,195,194,100,29,36
508875791,0,0,175,180,98,31,32
509806788,0,0,180,181,97,27,34
510850795,0,0,185,187,100,29,38
511897769,0,0,185,180,93,40,34
512809760,0,0,186,184,97,33,35
513848762,0,0,182,180,98,30,35
514900762,0,0,189,191,97,28,38
515811764,0,0,178,176,100,30,40
516850762,0,0,184,180,100,32,36
517909758,0,0,190,190,92,30,36
518819799,0,0,181,194,100,34,33
519860958,0,0,188,185,100,28,35
520894763,0,0,192,191,100,26,35
521830757,0,0,187,189,95,28,40
522863765,0,0,188,187,99,33,32
523904766,0,0,192,189,100,34,34
524824795,0,0,185,190,100,34,33
525877763,0,0,190,191,97,29,38
526807772,0,0,189,189,100,31,34
527834956,0,0,186,191,100,35,30
528860761,0,0,190,195,100,30,34
529916780,0,0,189,187,100,31,31
530832798,0,0,181,179,97,28,34
531866843,0,0,186,190,98,29,39
532807763,0,0,188,183,100,33,41
533873631,0,0,195,193,100,32,41
534867823,0,0,191,184,100,43,33
535806760,0,0,184,186,97,32,36
536837764,0,0,185,184,97,29,32
537884766,0,0,191,192,100,26,37
538809762,0,0,182,185,97,29,39
539848764,0,0,187,187,100,34,41
540882763,0,0,186,183,98,30,36
541824101,0,0,189,195,98,32,35
542842756,0,0,189,191,100,31,34
543884763,0,0,183,178,100,26,46
544811764,0,0,190,188,97,33,35
545860473,0,0,190,190,100,35,34
546900736,0,0,184,177,100,30,31
547814916,0,0,181,183,100,32,34
548859767,0,0,182,177,97,38,42
549897932,0,0,183,181,98,34,37
550810860,0,0,185,187,95,35,40
551867760,0,0,188,185,96,32,40
552913681,0,0,182,184,97,31,34
553817975,0,0,183,181,98,33,34
554874909,0,0,186,176,99,37,37
