timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
702107682,inf,0,0,0,0,0
703117444,inf,0,0,0,0,0
704127137,inf,0,0,0,0,0
705136892,inf,0,0,0,0,0
706147156,inf,0,0,0,0,0
707156816,inf,0,0,0,0,0
708156822,inf,0,0,0,0,0
709166454,inf,0,0,0,0,0
710175655,inf,0,0,0,0,0
711185457,inf,0,0,0,0,0
712195039,inf,0,0,0,0,0
713195216,inf,0,0,0,0,0
714204945,inf,0,0,0,0,0
715209480,inf,0,0,0,0,0
716209575,inf,0,0,0,0,0
717219011,inf,0,0,0,0,0
718229025,inf,0,0,0,0,0
719238500,inf,0,0,0,0,0
720248282,inf,0,0,0,0,0
721257907,inf,0,0,0,0,0
722268185,inf,0,0,0,0,0
723277580,inf,0,0,0,0,0
724287661,inf,0,0,0,0,0
725297180,inf,0,0,0,0,0
726306918,inf,0,0,0,0,0
727306936,inf,0,0,0,0,0
728316616,inf,0,0,0,0,0
729326283,inf,0,0,0,0,0
730335952,inf,0,0,0,0,0
731345829,inf,0,0,0,0,0
732346018,inf,0,0,0,0,0
733355265,inf,0,0,0,0,0
734355455,inf,0,0,0,0,0
735355525,inf,0,0,0,0,0
736365273,inf,0,0,0,0,0
737374474,inf,0,0,0,0,0
738383953,inf,0,0,0,0,0
739393679,inf,0,0,0,0,0
740393680,inf,0,0,0,0,0
741398124,inf,0,0,0,0,0
742407930,inf,0,0,0,0,0
743408006,inf,0,0,0,0,0
744417564,inf,0,0,0,0,0
745427483,inf,0,0,0,0,0
746427521,inf,0,0,0,0,0
747436751,inf,0,0,0,0,0
748446593,inf,0,0,0,0,0
749456279,inf,0,0,0,0,0
750466018,inf,0,0,0,0,0
751466199,inf,0,0,0,0,0
752475467,inf,0,0,0,0,0
753485342,inf,0,0,0,0,0
754495108,inf,0,0,0,0,0
755505008,inf,0,0,0,0,0
756514682,inf,0,0,0,0,0
757524006,inf,0,0,0,0,0
758524164,inf,0,0,0,0,0
759533762,inf,0,0,0,0,0
760543529,inf,0,0,0,0,0
761548144,inf,0,0,0,0,0
762558453,inf,0,0,0,0,0
763558487,inf,0,0,0,0,0
764567492,inf,0,0,0,0,0
765576972,inf,0,0,0,0,0
766586830,inf,0,0,0,0,0
767596461,inf,0,0,0,0,0
768596479,inf,0,0,0,0,0
769606120,inf,0,0,0,0,0
770615665,inf,0,0,0,0,0
771625513,inf,0,0,0,0,0
772635139,inf,0,0,0,0,0
773645492,inf,0,0,0,0,0
774654819,inf,0,0,0,0,0
775664526,inf,0,0,0,0,0
776674408,inf,0,0,0,0,0
777683858,inf,0,0,0,0,0
778683942,inf,0,0,0,0,0
779688616,inf,0,0,0,0,0
780698358,inf,0,0,0,0,0
781707918,inf,0,0,0,0,0
782717331,inf,0,0,0,0,0
783717365,inf,0,0,0,0,0
784727227,inf,0,0,0,0,0
785736653,inf,0,0,0,0,0
786747308,inf,0,0,0,0,0
787756561,inf,0,0,0,0,0
788756590,inf,0,0,0,0,0
789766002,inf,0,0,0,0,0
790775377,inf,0,0,0,0,0
791775723,inf,0,0,0,0,0
792785126,inf,0,0,0,0,0
793794887,inf,0,0,0,0,0
794804379,inf,0,0,0,0,0
795814337,inf,0,0,0,0,0
796814377,inf,0,0,0,0,0
797823515,inf,0,0,0,0,0
798833448,inf,0,0,0,0,0
799837896,inf,0,0,0,0,0
800847617,inf,0,0,0,0,0
801847651,inf,0,0,0,0,0
802857228,inf,0,0,0,0,0
803866982,inf,0,0,0,0,0
804876378,inf,0,0,0,0,0
805886385,inf,0,0,0,0,0
806886527,inf,0,0,0,0,0
807895776,inf,0,0,0,0,0
808905575,inf,0,0,0,0,0
809915033,inf,0,0,0,0,0
810919951,inf,0,0,0,0,0
811919955,inf,0,0,0,0,0
812929333,inf,0,0,0,0,0
813938977,inf,0,0,0,0,0
814948779,inf,0,0,0,0,0
815959458,inf,0,0,0,0,0
816968531,inf,0,0,0,0,0
817977916,inf,0,0,0,0,0
818987799,inf,0,0,0,0,0
819997371,inf,0,0,0,0,0
821007134,inf,0,0,0,0,0
822007368,inf,0,0,0,0,0
823016518,inf,0,0,0,0,0
824026546,inf,0,0,0,0,0
825036000,inf,0,0,0,0,0
826036013,inf,0,0,0,0,0
827045510,inf,0,0,0,0,0
828055161,inf,0,0,0,0,0
829065118,inf,0,0,0,0,0
830074816,inf,0,0,0,0,0
831084129,inf,0,0,0,0,0
832088968,inf,0,0,0,0,0
833089205,inf,0,0,0,0,0
834098231,inf,0,0,0,0,0
835108108,inf,0,0,0,0,0
836117699,inf,0,0,0,0,0
837127770,inf,0,0,0,0,0
838137218,inf,0,0,0,0,0
839147220,inf,0,0,0,0,0
840157385,inf,0,0,0,0,0
841166579,inf,0,0,0,0,0
842176030,inf,0,0,0,0,0
843185841,inf,0,0,0,0,0
844195355,inf,0,0,0,0,0
845205334,inf,0,0,0,0,0
846214980,inf,0,0,0,0,0
847224627,inf,0,0,0,0,0
848234596,inf,0,0,0,0,0
848474288,inf,0,0,0,0,1
848824679,inf,0,1,0,0,1
849084114,inf,0,1,1,0,1
849384234,inf,0,1,1,1,1
850393927,inf,0,1,1,1,1
851403462,inf,0,1,1,1,1
852413336,inf,0,1,1,1,1
853422637,inf,0,1,1,1,1
854427511,inf,0,1,1,1,1
855437394,inf,0,1,1,1,1
856447047,inf,0,1,1,1,1
857456620,inf,0,1,1,1,1
858466568,inf,0,1,1,1,1
859476015,inf,0,1,1,1,1
860485842,inf,0,1,1,1,1
