timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
712826839,0,0,181,186,100,26,40
713856767,0,0,183,186,100,27,46
714892760,0,0,182,189,98,26,36
715823870,0,0,175,175,97,30,39
716853761,0,0,173,175,100,30,45
717900624,0,0,181,185,98,29,39
718830837,0,0,182,188,96,28,45
719869765,0,0,178,178,97,49,41
720910766,0,0,174,183,99,32,37
721836768,0,0,158,168,100,28,48
722878770,0,0,175,182,100,25,45
723947662,0,0,178,184,100,22,49
724834276,0,0,181,183,95,29,48
725869766,0,0,178,178,97,30,36
726921894,0,0,180,185,100,30,38
727841764,0,0,172,184,100,25,40
728879764,0,0,175,181,97,20,44
729919762,0,0,174,189,96,26,43
730838973,0,0,174,184,100,26,41
731880779,0,0,183,189,96,27,40
732808778,0,0,185,186,100,32,37
733845394,0,0,181,182,94,37,41
734882908,0,0,182,181,100,31,42
735817860,0,0,181,186,100,35,46
736846762,0,0,185,188,97,29,44
737878791,0,0,187,193,97,26,39
738829767,0,0,179,177,97,26,43
739850814,0,0,191,193,100,33,39
740889806,0,0,187,188,100,26,38
741825767,0,0,190,185,100,31,48
742856774,0,0,185,196,97,31,37
743887906,0,0,186,184,100,29,37
744813829,0,0,185,184,100,23,39
745867784,0,0,185,185,100,27,43
746891890,0,0,181,183,97,31,35
747952807,0,0,185,187,96,27,46
748867835,0,0,184,187,100,37,35
749898841,0,0,186,185,100,32,39
750813916,0,0,188,188,96,29,39
751872764,0,0,184,186,96,27,40
752903769,0,0,192,189,97,27,39
753827424,0,0,196,198,96,28,42
754871799,0,0,187,185,96,29,37
755915180,0,0,179,181,97,27,40
756834643,0,0,183,183,100,32,38
757886836,0,0,180,177,100,29,39
758830765,0,0,186,191,100,29,47
759839859,0,0,194,193,100,28,45
760883823,0,0,191,194,94,30,40
761808796,0,0,177,180,98,31,41
762840807,0,0,181,183,100,28,39
763880832,0,0,172,182,100,32,38
764818787,0,0,184,185,97,32,44
765841781,0,0,184,186,97,28,39
766900760,0,0,174,180,100,29,38
767819771,0,0,179,177,100,29,38
768848722,0,0,179,181,97,27,43
769893766,0,0,175,182,96,33,40
770826766,0,0,177,188,100,27,41
771855772,0,0,178,185,100,50,45
772895771,0,0,177,181,96,30,40
773815492,0,0,182,186,97,29,42
774842766,0,0,186,190,100,29,40
775900874,0,0,189,192,100,29,47
776834673,0,0,186,184,100,28,40
777846900,0,0,186,190,96,30,40
778909831,0,0,186,187,97,34,48
779824765,0,0,180,185,100,31,38
780865795,0,0,177,177,99,29,46
781908764,0,0,182,189,100,34,46
782955303,0,0,186,189,97,32,39
783867585,0,0,185,194,100,25,36
784907234,0,0,183,190,100,31,40
785960199,0,0,187,201,94,27,42
786872764,0,0,186,189,100,28,34
787806828,0,0,188,191,97,36,45
788852983,0,0,181,181,96,33,38
789882759,0,0,192,196,100,28,39
790913629,0,0,195,197,96,26,39
791847768,0,0,196,201,95,35,40
792889774,0,0,196,201,96,26,42
793831765,0,0,192,199,97,28,42
794856799,0,0,194,197,100,31,38
795887766,0,0,186,194,100,28,36
796815761,0,0,182,180,96,23,46
797857202,0,0,182,185,100,32,43
798878783,0,0,183,184,100,28,40
799811804,0,0,181,185,100,32,42
800860767,0,0,189,199,97,46,37
801818765,0,0,189,194,98,34,40
802817770,0,0,178,180,100,29,42
803861821,0,0,181,184,100,34,46
804886901,0,0,186,185,96,28,36
805827800,0,0,189,190,97,23,46
806860762,0,0,184,189,100,31,39
807902767,0,0,182,187,98,27,39
808818766,0,0,180,184,100,30,42
809850955,0,0,187,189,95,30,41
810900046,0,0,190,190,100,32,41
811832762,0,0,187,191,100,29,44
812879204,0,0,181,183,93,33,39
813905843,0,0,181,185,100,27,39
814820767,0,0,180,180,98,28,37
815875888,0,0,180,184,100,31,42
816908333,0,0,188,190,100,28,42
817831767,0,0,194,193,98,28,40
818864764,0,0,190,196,97,32,46
819908761,0,0,184,194,97,26,39
820960769,0,0,175,179,96,31,44
821887551,0,0,184,180,100,32,36
822811801,0,0,182,183,100,31,47
823850888,0,0,187,187,95,48,37
824890768,0,0,187,196,100,30,40
825813800,0,0,187,186,100,31,41
826841771,0,0,191,193,100,28,41
827897762,0,0,187,191,95,28,39
828846769,0,0,190,191,100,30,41
829849761,0,0,187,189,100,27,36
830895781,0,0,187,191,100,33,41
831820771,0,0,185,185,98,29,38
832850760,0,0,195,200,98,28,47
833886890,0,0,189,193,100,33,48
834819771,0,0,191,196,100,30,44
835853760,0,0,196,203,100,31,41
836904828,0,0,193,197,91,32,39
837827838,0,0,189,196,99,30,42
838864766,0,0,196,200,100,27,38
839913801,0,0,191,194,93,27,48
840837765,0,0,191,193,97,31,37
841866798,0,0,184,187,95,28,45
842919101,0,0,181,186,99,29,45
843827765,0,0,166,185,100,29,39
844866779,0,0,165,168,100,27,40
845917765,0,0,180,185,97,29,43
846833770,0,0,187,189,100,30,40
847889021,0,0,178,182,96,25,35
848915117,0,0,184,184,100,30,35
849840764,0,0,184,184,100,28,39
850870769,0,0,187,182,98,28,40
851919761,0,0,183,184,100,27,42
852849830,0,0,188,190,98,42,41
853876764,0,0,190,187,100,32,37
854922877,0,0,187,186,97,27,42
855884770,0,0,184,185,97,34,41
856883765,0,0,185,190,100,27,35
857814801,0,0,185,189,100,30,47
858856767,0,0,187,193,96,28,38
859893765,0,0,185,190,97,35,37
860816760,0,0,187,185,100,28,41
